market,city,q,concept,inventory_location,searches,deads,zeros,buys
GB,Manchester,pilates,pilates,cant_tell,18,9,0,1
GB,Birmingham,personal trainer,personaltrain,another_city,16,9,6,0
DE,Berlin,burger,dining_specific,cant_tell,30,9,3,2
FR,Paris,massage thai,massage,same_city,28,9,3,4
GB,Manchester,facial,facial,same_city,25,9,4,1
PL,Warszawa,masaż pleców,massage,same_city,18,9,4,1
ES,Madrid,tapas,dining_specific,cant_tell,19,9,2,1
ES,Valencia,crossfit,crossfit,cant_tell,16,9,7,1
GB,Birmingham,couples massage,massage,same_city,20,9,3,2
PL,Warszawa,masaż tajski,massage,same_city,18,9,3,2
GB,Glasgow,supercar track day,adrenaline,nowhere,8,8,8,0
FR,Lyon,visite guidee,citytour,same_city,11,8,0,0
GB,Birmingham,brunch,dining_specific,cant_tell,19,8,4,3
FR,Lyon,bowling,bowling,nowhere,11,8,4,1
ES,Valencia,masaje descontracturante,massage,same_city,17,8,2,0
ES,Madrid,tour ciudad,citytour,same_city,26,8,3,2
FR,Paris,coiffeur,hair,same_city,28,8,1,3
FR,Paris,sushi,sushi,nowhere,20,8,1,3
FR,Paris,restaurant italien,dining_specific,cant_tell,19,8,2,1
GB,Glasgow,deep tissue massage,massage,same_city,13,8,2,0
DE,Berlin,wimpernverlängerung,lashes,nowhere,16,8,1,1
FR,Paris,crêperie,dining_specific,cant_tell,22,8,4,5
GB,Manchester,steak dinner,dining_specific,cant_tell,19,8,3,1
ES,Madrid,entrenador personal,personaltrain,same_city,31,8,3,5
DE,Berlin,steakhaus,dining_specific,cant_tell,22,8,2,3
DE,Hamburg,fallschirmspringen,adrenaline,nowhere,8,8,8,0
GB,Manchester,paintball,paintball,nowhere,21,8,2,2
GB,Manchester,manicure,nails,same_city,19,8,3,1
FR,Marseille,salle de sport,gym,same_city,14,8,2,1
DE,München,nackenmassage,massage,same_city,18,8,3,3
FR,Marseille,brunch,dining_specific,cant_tell,13,8,3,1
GB,Manchester,gym,gym,same_city,27,8,3,2
ES,Sevilla,vuelo en helicoptero,adrenaline,nowhere,8,8,8,0
GB,Manchester,crossfit,crossfit,cant_tell,16,8,2,3
PL,Kraków,skoki spadochronowe,adrenaline,nowhere,8,8,8,0
ES,Barcelona,masaje tailandes,massage,same_city,13,8,2,1
DE,Hamburg,personal trainer,personaltrain,same_city,17,8,2,2
ES,Barcelona,paracaidismo,adrenaline,nowhere,8,8,8,0
FR,Paris,paintball,paintball,nowhere,27,8,1,3
ES,Valencia,limpieza facial,facial,another_city,14,7,3,1
ES,Barcelona,crossfit,crossfit,cant_tell,17,7,3,2
FR,Toulouse,vol en montgolfiere,adrenaline,nowhere,7,7,7,0
GB,Birmingham,haircut,hair,another_city,21,7,4,3
GB,Birmingham,steak dinner,dining_specific,cant_tell,20,7,3,1
GB,Birmingham,crossfit,crossfit,cant_tell,25,7,2,3
ES,Valencia,masaje tailandes,massage,same_city,14,7,3,2
ES,Valencia,tapas,dining_specific,cant_tell,11,7,2,1
GB,Birmingham,gym,gym,same_city,17,7,1,1
GB,Birmingham,hair colour,hair,another_city,24,7,2,3
FR,Paris,cours de yoga,yoga,cant_tell,26,7,2,3
PL,Warszawa,crossfit,crossfit,cant_tell,11,7,4,1
PL,Warszawa,koloryzacja,hair,same_city,17,7,0,2
FR,Marseille,tour en helicoptere,adrenaline,nowhere,7,7,7,0
GB,Manchester,personal trainer,personaltrain,same_city,15,7,1,1
FR,Paris,manucure,nails,same_city,22,7,3,1
FR,Marseille,karting,karting,another_city,13,7,4,0
GB,Manchester,escape room,escaperoom,same_city,19,7,5,4
ES,Barcelona,paintball,paintball,nowhere,9,7,1,2
GB,Manchester,brunch,dining_specific,cant_tell,11,7,3,0
GB,Manchester,bowling,bowling,nowhere,11,7,3,0
FR,Paris,pilates,pilates,cant_tell,22,7,1,3
PL,Warszawa,brunch,dining_specific,cant_tell,15,7,2,3
DE,Köln,heißluftballon fahrt,adrenaline,nowhere,7,7,7,0
DE,Berlin,maniküre,nails,same_city,25,7,3,3
FR,Marseille,crossfit,crossfit,cant_tell,9,7,0,1
FR,Lyon,paintball,paintball,nowhere,13,7,3,0
DE,Berlin,friseur,hair,same_city,21,7,1,2
PL,Warszawa,pilates,pilates,cant_tell,19,7,3,2
ES,Barcelona,extensiones pestañas,lashes,nowhere,13,7,2,1
PL,Warszawa,pizzeria,dining_specific,cant_tell,17,7,2,2
FR,Lyon,escape game,escaperoom,same_city,11,7,2,2
ES,Valencia,extensiones pestañas,lashes,nowhere,11,6,0,0
ES,Valencia,arroceria,dining_specific,cant_tell,16,6,2,2
ES,Valencia,pilates,pilates,cant_tell,13,6,0,1
ES,Valencia,clase de yoga,yoga,cant_tell,11,6,2,0
FR,Lyon,crossfit,crossfit,cant_tell,12,6,3,1
FR,Marseille,massage thai,massage,same_city,14,6,1,2
DE,München,personal trainer,personaltrain,another_city,17,6,0,2
ES,Madrid,karting,karting,same_city,22,6,1,4
ES,Barcelona,pilates,pilates,cant_tell,12,6,3,3
DE,München,pilates,pilates,cant_tell,13,6,1,0
ES,Barcelona,brunch,dining_specific,cant_tell,8,6,1,2
ES,Sevilla,rafting,adrenaline,nowhere,6,6,6,0
FR,Lyon,karting,karting,same_city,14,6,1,1
GB,Birmingham,bowling,bowling,nowhere,17,6,2,3
DE,München,stadtrundfahrt,citytour,same_city,13,6,0,3
GB,Birmingham,go karting,karting,another_city,14,6,0,3
FR,Lyon,massage duo,massage,same_city,11,6,1,0
GB,Birmingham,deep tissue massage,massage,same_city,12,6,0,1
DE,München,sushi,sushi,nowhere,7,6,2,0
DE,München,thai massage,massage,same_city,12,6,1,0
ES,Madrid,sports massage,massage,same_city,6,6,1,0
FR,Toulouse,massage duo,massage,same_city,13,6,2,2
ES,Valencia,brunch,dining_specific,cant_tell,13,6,3,1
GB,Manchester,couples massage,massage,same_city,11,6,3,2
PL,Warszawa,gokarty,karting,same_city,13,6,3,1
PL,Wrocław,fryzjer,hair,same_city,9,6,1,0
PL,Warszawa,escape room,escaperoom,same_city,11,6,0,0
DE,München,brunch,dining_specific,cant_tell,11,6,2,0
DE,München,friseur,hair,another_city,11,6,2,0
GB,Glasgow,steak dinner,dining_specific,cant_tell,8,6,3,0
DE,Berlin,italiener,dining_specific,cant_tell,28,6,0,4
PL,Warszawa,przedłużanie rzęs,lashes,nowhere,15,6,2,2
GB,Manchester,sports massage,massage,same_city,15,6,3,2
PL,Wrocław,skoki spadochronowe,adrenaline,nowhere,6,6,6,0
GB,Manchester,hair colour,hair,same_city,16,6,3,2
DE,Hamburg,haare färben,hair,same_city,9,6,4,1
PL,Warszawa,sushi,sushi,nowhere,13,6,2,1
PL,Warszawa,oczyszczanie twarzy,facial,same_city,15,6,3,3
DE,Köln,hubschrauber rundflug,adrenaline,nowhere,6,6,6,0
PL,Warszawa,paintball,paintball,nowhere,12,6,2,1
DE,Berlin,deep tissue massage,massage,same_city,8,6,2,0
GB,Manchester,deep tissue massage,massage,same_city,16,5,3,3
ES,Barcelona,masaje descontracturante,massage,same_city,15,5,1,0
DE,Hamburg,maniküre,nails,same_city,10,5,2,2
GB,Manchester,eyelash extensions,lashes,nowhere,17,5,0,3
PL,Warszawa,siłownia,gym,same_city,12,5,2,3
DE,Hamburg,nackenmassage,massage,same_city,9,5,2,1
DE,Hamburg,pilates,pilates,cant_tell,11,5,2,0
ES,Barcelona,masaje en pareja,massage,same_city,16,5,2,3
DE,Hamburg,steakhaus,dining_specific,cant_tell,11,5,2,1
FR,Lyon,coloration,hair,another_city,13,5,2,1
DE,Hamburg,wimpernverlängerung,lashes,nowhere,11,5,2,1
ES,Barcelona,karting,karting,same_city,13,5,1,2
FR,Paris,steak dinner,dining_specific,cant_tell,5,5,3,0
DE,Hamburg,yoga kurs,yoga,cant_tell,11,5,4,1
DE,Köln,brunch,dining_specific,cant_tell,5,5,1,0
PL,Wrocław,brunch,dining_specific,cant_tell,10,5,0,0
ES,Valencia,tour ciudad,citytour,same_city,14,5,1,3
GB,Manchester,haircut,hair,same_city,15,5,1,2
DE,Hamburg,fitnessstudio,gym,same_city,8,5,1,1
ES,Barcelona,sushi,sushi,nowhere,16,5,1,0
ES,Barcelona,tinte pelo,hair,same_city,9,5,2,1
PL,Kraków,pilates,pilates,cant_tell,8,5,2,0
PL,Kraków,masaż tajski,massage,same_city,8,5,0,1
FR,Marseille,massage dos,massage,same_city,13,5,3,1
FR,Marseille,escape game,escaperoom,same_city,15,5,3,2
ES,Madrid,indian restaurant,dining_specific,cant_tell,5,5,2,0
DE,Berlin,stadtrundfahrt,citytour,same_city,15,5,1,1
FR,Marseille,burger,dining_specific,cant_tell,5,5,2,0
ES,Madrid,facial,facial,same_city,6,5,2,0
PL,Kraków,brunch,dining_specific,cant_tell,6,5,2,0
DE,Berlin,paintball,paintball,nowhere,16,5,2,2
PL,Gdańsk,rafting,adrenaline,nowhere,5,5,5,0
PL,Warszawa,fryzjer,hair,same_city,11,5,0,0
GB,Birmingham,thai massage,massage,same_city,14,5,0,1
ES,Madrid,deep tissue massage,massage,same_city,5,5,3,0
FR,Lyon,soin visage,facial,same_city,11,5,2,2
PL,Warszawa,joga,yoga,cant_tell,12,5,3,2
DE,Hamburg,brunch,dining_specific,cant_tell,10,5,2,1
ES,Madrid,back massage,massage,same_city,8,5,2,0
FR,Lyon,pilates,pilates,cant_tell,16,5,3,2
GB,Manchester,sushi,sushi,nowhere,13,5,1,3
PL,Warszawa,manicure,nails,same_city,10,5,2,2
PL,Warszawa,masaż dla par,massage,same_city,17,5,0,2
DE,Köln,fallschirmspringen,adrenaline,nowhere,5,5,5,0
ES,Valencia,tinte pelo,hair,another_city,12,5,1,2
DE,Berlin,rückenmassage,massage,same_city,24,5,2,1
GB,Birmingham,eyelash extensions,lashes,nowhere,14,5,1,2
ES,Valencia,escape room,escaperoom,same_city,10,5,1,0
PL,Wrocław,masaż dla par,massage,same_city,9,5,2,0
GB,Glasgow,paintball,paintball,nowhere,13,5,2,0
GB,Glasgow,indian restaurant,dining_specific,cant_tell,9,5,2,1
DE,Köln,sportmassage,massage,same_city,12,5,0,0
GB,Birmingham,manicure,nails,same_city,8,5,1,0
DE,München,fitnessstudio,gym,same_city,9,5,1,0
ES,Valencia,peluqueria,hair,another_city,11,5,1,1
PL,Wrocław,burger,dining_specific,cant_tell,9,5,1,2
GB,Birmingham,yoga class,yoga,cant_tell,17,5,2,1
DE,München,italiener,dining_specific,cant_tell,12,5,3,2
ES,Valencia,entrenador personal,personaltrain,same_city,10,4,1,0
FR,Marseille,manucure,nails,another_city,11,4,4,0
PL,Wrocław,trener personalny,personaltrain,same_city,8,4,0,3
DE,München,rückenmassage,massage,same_city,8,4,0,0
FR,Paris,couples massage,massage,same_city,6,4,1,0
ES,Valencia,karting,karting,same_city,12,4,2,1
GB,Manchester,yoga class,yoga,cant_tell,12,4,1,2
DE,München,sportmassage,massage,same_city,7,4,1,1
GB,Glasgow,gym,gym,same_city,10,4,2,1
PL,Wrocław,masaż tajski,massage,same_city,7,4,2,4
FR,Lyon,massage thai,massage,same_city,12,4,1,1
FR,Toulouse,extension de cils,lashes,nowhere,9,4,2,0
ES,Barcelona,tour ciudad,citytour,same_city,9,4,1,1
DE,München,steakhaus,dining_specific,cant_tell,6,4,0,0
FR,Lyon,restaurant italien,dining_specific,cant_tell,9,4,1,0
DE,München,escape room,escaperoom,same_city,10,4,0,1
PL,Kraków,trener personalny,personaltrain,same_city,4,4,1,0
GB,Birmingham,paintball,paintball,nowhere,14,4,0,5
PL,Kraków,fryzjer,hair,same_city,9,4,2,1
FR,Marseille,pilates,pilates,cant_tell,11,4,2,2
GB,Birmingham,pizza deal,dining_specific,cant_tell,15,4,1,4
ES,Madrid,eyelash extensions,lashes,nowhere,4,4,0,0
ES,Sevilla,tinte pelo,hair,another_city,7,4,1,1
GB,Birmingham,sports massage,massage,same_city,17,4,2,3
FR,Marseille,bowling,bowling,nowhere,7,4,2,3
DE,Berlin,yoga class,yoga,cant_tell,4,4,0,0
FR,Marseille,coloration,hair,another_city,12,4,1,1
PL,Gdańsk,lot balonem,adrenaline,nowhere,4,4,4,0
DE,Köln,yoga kurs,yoga,cant_tell,8,4,1,1
ES,Valencia,gimnasio,gym,same_city,8,4,1,0
FR,Paris,back massage,massage,same_city,4,4,1,0
FR,Lyon,sushi,sushi,nowhere,12,4,1,2
GB,Glasgow,pilates,pilates,cant_tell,8,4,1,1
FR,Toulouse,escape game,escaperoom,same_city,6,4,0,1
DE,Hamburg,sushi,sushi,nowhere,6,4,2,0
FR,Paris,personal trainer,personaltrain,same_city,6,4,1,0
ES,Valencia,sushi,sushi,nowhere,14,4,1,1
FR,Toulouse,paintball,paintball,nowhere,7,4,2,0
ES,Sevilla,brunch,dining_specific,cant_tell,7,4,0,1
DE,Köln,crossfit,crossfit,cant_tell,7,4,2,0
ES,Barcelona,clase de yoga,yoga,cant_tell,13,4,0,3
FR,Lyon,coiffeur,hair,another_city,12,4,3,0
ES,Barcelona,limpieza facial,facial,same_city,13,4,3,3
ES,Barcelona,manicura,nails,same_city,9,4,2,1
ES,Sevilla,hamburguesa,dining_specific,cant_tell,9,4,1,0
ES,Sevilla,karting,karting,same_city,6,4,2,0
FR,Marseille,extension de cils,lashes,nowhere,8,4,3,3
FR,Toulouse,soin visage,facial,same_city,7,4,3,1
PL,Warszawa,restauracja włoska,dining_specific,cant_tell,11,4,1,2
DE,Berlin,gym,gym,same_city,4,4,0,0
DE,München,paintball,paintball,nowhere,9,4,0,1
GB,Birmingham,city tour,citytour,same_city,13,4,2,0
DE,München,wimpernverlängerung,lashes,nowhere,10,4,2,0
ES,Valencia,masaje en pareja,massage,same_city,16,4,3,3
DE,Hamburg,italiener,dining_specific,cant_tell,7,4,1,1
ES,Barcelona,peluqueria,hair,same_city,13,4,3,0
DE,Hamburg,gesichtsbehandlung,facial,same_city,7,4,3,1
DE,Köln,sushi,sushi,nowhere,8,4,1,0
ES,Sevilla,paintball,paintball,nowhere,7,4,0,0
ES,Sevilla,bolera,bowling,nowhere,6,3,1,0
FR,Marseille,escape room,escaperoom,same_city,3,3,0,0
FR,Lyon,coach sportif,personaltrain,same_city,6,3,1,1
PL,Wrocław,crossfit,crossfit,cant_tell,5,3,0,0
FR,Lyon,burger,dining_specific,cant_tell,6,3,0,0
ES,Sevilla,pilates,pilates,cant_tell,8,3,2,2
ES,Madrid,thai massage,massage,same_city,4,3,1,0
ES,Sevilla,peluqueria,hair,another_city,3,3,1,0
PL,Wrocław,sushi,sushi,nowhere,7,3,1,2
ES,Sevilla,gimnasio,gym,same_city,6,3,1,0
FR,Marseille,crêperie,dining_specific,cant_tell,6,3,3,0
PL,Wrocław,escape room,escaperoom,another_city,6,3,1,1
PL,Kraków,sushi,sushi,nowhere,7,3,2,1
ES,Valencia,couples massage,massage,same_city,3,3,2,0
FR,Marseille,coach sportif,personaltrain,same_city,7,3,2,0
PL,Warszawa,kręgle,bowling,nowhere,6,3,0,0
FR,Lyon,salle de sport,gym,same_city,8,3,1,0
PL,Warszawa,burger,dining_specific,cant_tell,8,3,2,0
FR,Lyon,manucure,nails,same_city,6,3,1,0
PL,Wrocław,paintball,paintball,nowhere,6,3,1,1
PL,Warszawa,facial,facial,same_city,3,3,0,0
DE,Berlin,facial,facial,same_city,3,3,0,0
ES,Madrid,personal trainer,personaltrain,same_city,5,3,1,0
PL,Warszawa,pizza deal,dining_specific,cant_tell,3,3,1,0
PL,Warszawa,sports massage,massage,same_city,3,3,1,0
ES,Sevilla,masaje descontracturante,massage,same_city,10,3,0,1
ES,Valencia,hamburguesa,dining_specific,cant_tell,6,3,0,1
PL,Warszawa,hair colour,hair,same_city,3,3,1,0
ES,Sevilla,masaje tailandes,massage,same_city,8,3,0,3
PL,Wrocław,koloryzacja,hair,same_city,6,3,1,1
ES,Sevilla,masaje espalda,massage,same_city,3,3,0,0
FR,Lyon,massage dos,massage,same_city,7,3,0,0
GB,Birmingham,sushi,sushi,nowhere,13,3,1,2
PL,Gdańsk,koloryzacja,hair,same_city,5,3,0,0
GB,Glasgow,sports massage,massage,same_city,10,3,3,1
DE,Hamburg,burger,dining_specific,cant_tell,12,3,0,2
GB,Birmingham,back massage,massage,same_city,9,3,1,1
DE,Hamburg,crossfit,crossfit,cant_tell,7,3,2,1
DE,Hamburg,escape room,escaperoom,same_city,11,3,0,1
FR,Paris,deep tissue massage,massage,same_city,4,3,3,0
FR,Toulouse,visite guidee,citytour,same_city,6,3,1,0
FR,Paris,facial,facial,same_city,3,3,0,0
FR,Paris,gym,gym,same_city,3,3,1,0
FR,Paris,haircut,hair,same_city,3,3,0,0
GB,Manchester,go karting,karting,another_city,12,3,0,2
DE,Hamburg,kart fahren,karting,same_city,11,3,2,0
DE,Hamburg,rückenmassage,massage,same_city,7,3,1,0
FR,Paris,pizza deal,dining_specific,cant_tell,3,3,1,0
FR,Toulouse,sushi,sushi,nowhere,7,3,0,1
ES,Barcelona,masaje espalda,massage,same_city,17,3,1,3
PL,Kraków,rafting,adrenaline,nowhere,3,3,3,0
DE,Köln,personal trainer,personaltrain,same_city,5,3,1,1
ES,Barcelona,hamburguesa,dining_specific,cant_tell,6,3,0,0
FR,Toulouse,salle de sport,gym,another_city,4,3,1,1
DE,Köln,bowling,bowling,nowhere,7,3,1,1
FR,Paris,yoga class,yoga,cant_tell,4,3,1,0
GB,Glasgow,yoga class,yoga,cant_tell,7,3,0,2
DE,Köln,italiener,dining_specific,cant_tell,6,3,0,1
FR,Toulouse,pilates,pilates,cant_tell,7,3,1,2
FR,Toulouse,massage sportif,massage,same_city,9,3,1,2
PL,Gdańsk,brunch,dining_specific,cant_tell,4,3,1,0
ES,Barcelona,arroceria,dining_specific,cant_tell,9,3,1,2
DE,Köln,steakhaus,dining_specific,cant_tell,6,3,1,0
GB,Glasgow,hair colour,hair,same_city,5,3,2,0
FR,Marseille,gym,gym,same_city,3,3,2,0
FR,Marseille,haircut,hair,another_city,4,3,1,0
GB,Glasgow,bowling,bowling,nowhere,8,3,0,0
DE,München,haare färben,hair,another_city,7,3,1,0
DE,München,indian restaurant,dining_specific,cant_tell,3,3,1,0
GB,Glasgow,brunch,dining_specific,cant_tell,6,3,1,0
ES,Madrid,haircut,hair,same_city,3,3,0,0
